Team,Golfer,Jan 26-29 Farmers Insurance Open,Feb 2-5 Waste Management Phoenix Open ,Feb 9-12 AT&T Pebble Beach Pro-Am,Feb 16-19  Genesis Open ,Feb 23-26  Honda Classic,Mar 2-5 WGC-Mexico Championship ,Mar 9-12  Valspar Champion,Mar 16-19  Arnold Palmer Invitational,Mar 22-26  WGC-Dell Match Play,Mar 30-Apr 2  Shell Houston Open,Apr 6-9  Masters,Apr 13-16  RBC Heritage,Apr 20-23  Valero Texas Open,Apr 27-30  Zurich Classic of New Orleans,May 4-7  Wells Fargo Championship,May 11-14  The Players Championship,May 18-21  AT&T Byron Nelson,May 25-28  Dean & DeLuca Invitational,Jun 1-4  Memorial Tournament,Jun 8-11  FedEx St. Jude Classic,Jun 15-18  U.S. Open,Jun 22-25  Travelers Championship,Jun 29-Jul 2  Quicken Loans National,Jul 6-9  The Greenbrier Classic,Jul 13-16  John Deere Classic,Jul 20-23  British Open,Jul 20-23  Barbasol Championship ,Jul 27-30  RBC Canadian Open,Aug 3-6  WGC-Bridgestone Invitational,Aug 10-13  PGA Championship,Aug 17-20  Wyndham Championship,Aug 24-27  The Northern Trust,Sep 1-4  Deutsche Bank Championship,Sep 14-17  BMW Championship,Sep 21-24  Tour Championship
Robert Bouchie,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,David Lingmerth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Fuller,Jon Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Matt Kuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Man,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Leprechauns,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Brandt Snedeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Sperry,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Brandt Snedeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Charles Howell III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirloin,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Billy Hurley III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap Hooks,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Matt Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Sergio Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jones,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Sergio Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Troy Merritt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Brokeroke,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Sergio Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Burglar,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Brendan Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Kevin Streelman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dog,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Charles Howell III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One Hole,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tori,Tiger Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Brendan Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Daniel Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Patrick Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Jim,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Jon Rahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm,Webb Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Bryson DeChambeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Daniel Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermy Verm Redux,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Patrick Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Ferrari,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Brian Harman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanger's Birdie Machines,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
