"How_hear","n"
"Don't remember",2
"Employment agency",1
"I am currently an employee or contractor at Tesoro",31
"Indeed.com",28
"Job training program",3
"Newspaper ad",1
"Online job site (not Indeed.com)",10
"Personal referral (i.e. word of mouth)",32
"Recruiting organization",3
"Social media (e.g. Facebook or Twitter)",4
"Tesoro employee",27
"Tesoro website or mailing",12
