"How_hear","n"
"Don't remember",2
"Employment agency",1
"I am currently an employee or contractor at Tesoro",69
"Indeed.com",26
"Newspaper ad",1
"Online job site (not Indeed.com)",10
"Personal referral (i.e. word of mouth)",51
"Social media (e.g. Facebook or Twitter)",6
"Tesoro employee",72
"Tesoro website or mailing",14
