"How_hear","n"
"Don't remember",1
"Employment agency",4
"I am currently an employee or contractor at Tesoro",55
"Indeed.com",35
"Job training program",2
"Newspaper ad",1
"Online job site (not Indeed.com)",5
"Personal referral (i.e. word of mouth)",38
"Social media (e.g. Facebook or Twitter)",12
"Tesoro employee",37
"Tesoro website or mailing",19
