"how_hear","n"
"Andeavor employee",626
"Andeavor website or mailing",158
"CareerBuilder.com",33
"Don't remember",74
"Employment agency",18
"I am currently an employee or contractor at Andeavor",160
"Indeed.com",265
"Job training program",27
"Newspaper ad",20
"Online job site (other than Indeed)",89
"Personal referral",945
"Recruiting organization",16
"Social media (e.g. Facebook or Twitter)",411
"State job board",15
