"how_hear","n"
"Don't remember",6
"I am currently an employee or contractor at Tesoro",56
"Indeed.com",231
"Job training program",9
"Newspaper ad",26
"Online job site (other than Indeed)",35
"Personal referral",174
"Social media (e.g. Facebook or Twitter)",33
"Tesoro employee",172
"Tesoro website or mailing",138
