"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
426,2017-03-13 20:43:42,"H0630","Personal referral","Yes",6.86368055555832
469,2017-03-14 16:38:06,"D1185","Newspaper ad","Yes",7.69312500000552
381,2017-03-13 00:42:38,"V6996","Personal referral","Yes",6.02960648148424
855,2017-03-21 01:52:30,"R2617","Personal referral","Yes",14.078125
714,2017-03-19 12:05:47,"J3494","Personal referral","Yes",12.5040277777723
564,2017-03-16 01:40:59,"H6963","Personal referral","Yes",9.07013888888337
312,2017-03-11 16:49:12,"D9507","Tesoro website or mailing","Yes",4.70083333333609
698,2017-03-18 23:49:04,"M8652","Tesoro website or mailing","Yes",11.9924074074074
246,2017-03-10 00:54:23,"T9348","Personal referral","Yes",3.03776620370646
293,2017-03-11 04:05:43,"S2977","Personal referral","Yes",4.17063657407683
800,2017-03-20 18:24:59,"W9836","I am currently an employee or contractor at Tesoro","Yes",13.7673495370398
341,2017-03-12 12:36:17,"G9439","I am currently an employee or contractor at Tesoro","Yes",5.52519675926202
720,2017-03-19 14:57:56,"J3494","Indeed.com","Yes",12.6235763888834
484,2017-03-14 18:34:15,"H0762","Personal referral","Yes",7.77378472222222
375,2017-03-12 22:10:15,"B8704","Tesoro website or mailing","Yes",5.92378472222498
398,2017-03-13 13:40:08,"A3321","Tesoro website or mailing","Yes",6.56954861110835
415,2017-03-13 18:10:56,"T3506","Indeed.com","Yes",6.75759259259259
421,2017-03-13 20:16:35,"W7081","Tesoro website or mailing","Yes",6.84486111110835
242,2017-03-09 23:01:40,"M1837","I am currently an employee or contractor at Tesoro","Yes",2.9594907407435
94,2017-03-08 18:12:24,"M9248","Job training program","Yes",1.75861111111663
743,2017-03-19 22:52:46,"E1698","Tesoro employee","Yes",12.9533101851852
697,2017-03-18 23:47:47,"C9291","Indeed.com","Yes",11.991527777775
322,2017-03-11 21:47:57,"G6077","Tesoro employee","Yes",4.90829861111111
336,2017-03-12 10:40:54,"R2148","Tesoro employee","Yes",5.4450694444472
641,2017-03-17 19:55:25,"C6092","Indeed.com","Yes",10.830150462963
613,2017-03-17 02:25:11,"S6435","Tesoro website or mailing","Yes",10.1008333333306
243,2017-03-09 23:43:55,"K2789","Newspaper ad","Yes",2.98884259258983
26,2017-03-08 01:45:35,"M0200","Indeed.com","Yes",1.07332175926478
633,2017-03-17 17:09:41,"H4590","Tesoro website or mailing","Yes",10.7150578703731
807,2017-03-20 20:45:01,"G3571","Social media (e.g. Facebook or Twitter)","Yes",13.8645949074129
42,2017-03-08 11:08:57,"M9463","Indeed.com","Yes",1.46456018517967
383,2017-03-13 01:08:14,"D2511","Tesoro employee","Yes",6.04738425926202
279,2017-03-10 21:49:11,"V3102","Tesoro employee","Yes",3.90916666666391
566,2017-03-16 03:24:12,"T4949","Personal referral","Yes",9.14180555555556
194,2017-03-09 15:51:28,"A5326","Tesoro website or mailing","Yes",2.66075231481206
358,2017-03-12 16:46:35,"S5218","Indeed.com","Yes",5.6990162037037
232,2017-03-09 21:32:41,"S0927","Indeed.com","Yes",2.89769675926202
233,2017-03-09 21:33:23,"M7956","Indeed.com","Yes",2.89818287037037
137,2017-03-08 23:25:46,"P1895","Personal referral","Yes",1.97622685185461
695,2017-03-18 23:44:36,"H0092","Tesoro website or mailing","Yes",11.9893055555583
461,2017-03-14 14:00:48,"K0805","Indeed.com","Yes",7.58388888888889
503,2017-03-14 23:28:19,"B2847","Indeed.com","Yes",7.9780092592565
207,2017-03-09 17:43:52,"E1321","Tesoro website or mailing","Yes",2.7387962962963
489,2017-03-14 20:48:06,"A8096","I am currently an employee or contractor at Tesoro","Yes",7.86673611111387
369,2017-03-12 19:31:35,"W0624","Indeed.com","Yes",5.81361111110835
219,2017-03-09 19:59:43,"M2908","Tesoro employee","Yes",2.83314814814263
197,2017-03-09 16:14:33,"E5162","Tesoro employee","Yes",2.67677083333609
19,2017-03-08 00:32:19,"M6853","Tesoro employee","Yes",1.02245370369818
683,2017-03-18 18:14:21,"Z5971","Tesoro website or mailing","Yes",11.7599652777778
780,2017-03-20 14:21:53,"O5228","Indeed.com","Yes",13.5985300925981
614,2017-03-17 02:53:54,"T7467","Tesoro website or mailing","Yes",10.1207638888889
763,2017-03-20 04:00:36,"B1925","Tesoro employee","Yes",13.1670833333333
170,2017-03-09 04:01:13,"R2801","I am currently an employee or contractor at Tesoro","Yes",2.16751157407407
257,2017-03-10 13:23:02,"R0815","Indeed.com","Yes",3.5576620370398
638,2017-03-17 18:34:42,"W7019","Indeed.com","Yes",10.774097222225
747,2017-03-20 00:23:00,"P9616","Indeed.com","Yes",13.0159722222222
371,2017-03-12 21:33:23,"M0949","Indeed.com","Yes",5.89818287037037
844,2017-03-21 00:23:51,"B7172","Tesoro website or mailing","Yes",14.0165625
653,2017-03-18 01:38:54,"H5231","Tesoro website or mailing","Yes",11.0686805555611
423,2017-03-13 20:25:46,"A4838","Indeed.com","Yes",6.85123842592317
41,2017-03-08 11:08:41,"C9726","Personal referral","Yes",1.46437499999724
355,2017-03-12 16:29:47,"A2699","Tesoro employee","Yes",5.68734953703704
75,2017-03-08 15:19:30,"L5008","I am currently an employee or contractor at Tesoro","Yes",1.63854166666667
611,2017-03-17 01:52:46,"E0975","Tesoro employee","Yes",10.0783217592537
482,2017-03-14 18:33:21,"G7225","Tesoro employee","Yes",7.77315972222222
435,2017-03-13 22:43:19,"S1196","Indeed.com","Yes",6.94674768518519
3,2017-03-07 20:50:20,"K3411","Indeed.com","Yes",0.868287037039796
105,2017-03-08 20:18:19,"S0439","Tesoro employee","Yes",1.84605324074074
12,2017-03-07 23:25:38,"A0077","Tesoro employee","Yes",0.976134259262019
758,2017-03-20 01:42:52,"K1320","Tesoro website or mailing","Yes",13.0714351851852
108,2017-03-08 20:54:54,"H5999","Personal referral","Yes",1.87146990740465
839,2017-03-20 23:57:52,"B1344","Personal referral","Yes",13.9985300925898
534,2017-03-15 14:42:10,"M5358","Personal referral","Yes",8.61261574074074
39,2017-03-08 10:38:01,"C4007","Personal referral","Yes",1.44306712962963
83,2017-03-08 16:55:31,"F4868","Tesoro employee","Yes",1.70523148147872
556,2017-03-15 21:55:56,"R4367","Indeed.com","Yes",8.91385416666115
703,2017-03-19 00:17:55,"N9901","Tesoro website or mailing","Yes",12.0124421296352
894,2017-03-21 20:08:30,"F9743","Indeed.com","Yes",14.8392361111111
794,2017-03-20 16:55:38,"P7227","Indeed.com","Yes",13.7053124999945
458,2017-03-14 13:18:44,"K2056","Indeed.com","Yes",7.55467592593144
774,2017-03-20 12:26:54,"J3473","Tesoro website or mailing","Yes",13.5186921296269
487,2017-03-14 20:09:16,"M7059","Indeed.com","Yes",7.83976851851852
362,2017-03-12 17:41:56,"B1879","Indeed.com","Yes",5.7374537037037
14,2017-03-07 23:51:40,"K7032","Indeed.com","Yes",0.994224537034278
529,2017-03-15 13:06:01,"S9356","Personal referral","Yes",8.54584490740741
156,2017-03-09 01:04:02,"N8780","Social media (e.g. Facebook or Twitter)","Yes",2.04446759259811
161,2017-03-09 01:47:21,"M1676","Tesoro employee","Yes",2.07456018518243
836,2017-03-20 23:40:24,"J8854","Indeed.com","Yes",13.9863888888944
87,2017-03-08 17:22:19,"G5444","I am currently an employee or contractor at Tesoro","Yes",1.72383101852128
727,2017-03-19 17:32:10,"H9156","Indeed.com","Yes",12.7306712962963
150,2017-03-09 00:30:58,"T2266","I am currently an employee or contractor at Tesoro","Yes",2.02150462962963
368,2017-03-12 19:27:32,"H3990","Tesoro employee","Yes",5.81078703703704
370,2017-03-12 20:55:25,"P6149","Personal referral","Yes",5.87181712963515
403,2017-03-13 15:30:13,"M1595","Tesoro website or mailing","Yes",6.6459837962963
890,2017-03-21 17:38:24,"B7061","Indeed.com","Yes",14.7350115740713
281,2017-03-10 22:13:58,"C8555","Tesoro website or mailing","Yes",3.92637731481206
162,2017-03-09 01:48:53,"V0881","Tesoro website or mailing","Yes",2.07561342592869
450,2017-03-14 01:56:05,"K4528","Indeed.com","Yes",7.08061342592593
237,2017-03-09 22:22:02,"G1655","Personal referral","Yes",2.93196759259535
861,2017-03-21 05:07:24,"H6737","Tesoro employee","Yes",14.2134837962935
367,2017-03-12 19:13:58,"P3969","Online job site (other than Indeed)","Yes",5.8013657407435
838,2017-03-20 23:51:33,"P2845","Personal referral","Yes",13.9941319444472
391,2017-03-13 11:55:37,"J5014","Tesoro employee","Yes",6.49695601852128
432,2017-03-13 22:09:09,"B5809","Online job site (other than Indeed)","Yes",6.92302083333333
615,2017-03-17 03:13:56,"D9305","Indeed.com","Yes",10.1346759259259
548,2017-03-15 20:00:36,"E0628","Indeed.com","Yes",8.83375000000552
91,2017-03-08 17:50:41,"H4124","Tesoro employee","Yes",1.74353009259259
350,2017-03-12 14:41:46,"P6604","Tesoro website or mailing","Yes",5.61233796296572
5,2017-03-07 21:37:30,"M7964","Tesoro employee","Yes",0.901041666672186
297,2017-03-11 12:30:23,"Z3404","Personal referral","Yes",4.52109953703704
411,2017-03-13 17:19:59,"L0896","Tesoro employee","Yes",6.72222222221946
320,2017-03-11 20:41:09,"W3244","Indeed.com","Yes",4.86192129629354
744,2017-03-19 22:55:41,"K8913","Tesoro website or mailing","Yes",12.9553356481481
353,2017-03-12 16:26:20,"H0857","Indeed.com","Yes",5.68496527777502
418,2017-03-13 19:08:52,"G8362","Tesoro website or mailing","Yes",6.79782407407683
620,2017-03-17 10:58:00,"B9776","Personal referral","Yes",10.45694444445
427,2017-03-13 20:46:44,"C5829","Personal referral","Yes",6.86578703703704
889,2017-03-21 17:24:49,"M4885","Personal referral","Yes",14.7255787036982
149,2017-03-09 00:26:29,"W6146","Indeed.com","Yes",2.0183912037037
880,2017-03-21 14:47:50,"I0825","Tesoro website or mailing","Yes",14.6165509259287
192,2017-03-09 15:26:41,"P7048","Tesoro website or mailing","Yes",2.64353009259535
89,2017-03-08 17:44:32,"S2297","Personal referral","Yes",1.73925925925926
470,2017-03-14 16:47:17,"S0855","Tesoro employee","Yes",7.69950231482033
4,2017-03-07 21:27:42,"B0927","Personal referral","Yes",0.894236111111111
725,2017-03-19 16:17:20,"J1812","Tesoro website or mailing","Yes",12.678715277775
