"","Applied_Time","How_hear","Education","ApplicantID","Applicant","app_day","day_bin"
"126",2017-01-23 21:17:05,"Indeed.com","Bachelor's Degree","R1562","Yes",12.8868634259259,"13"
"127",2017-01-23 21:40:01,"Personal referral (i.e. word of mouth)","High School Diploma or GED","R2403","Yes",12.9027893518519,"13"
"128",2017-01-23 22:19:45,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",12.9303819444444,"13"
"129",2017-01-23 22:22:55,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",12.9325810185185,"13"
"130",2017-01-23 22:35:31,"Job training program","High School Diploma or GED","W5936","Yes",12.9413310185185,"13"
"131",2017-01-23 22:53:59,"Personal referral (i.e. word of mouth)","Bachelor's Degree",NA,"No",12.9541550925926,"13"
"132",2017-01-23 23:12:55,"Personal referral (i.e. word of mouth)","High School Diploma or GED","H4605","Yes",12.9673032407407,"13"
"133",2017-01-24 00:05:31,"I am currently an employee or contractor at Tesoro","High School Diploma or GED",NA,"No",13.0038310185185,"14"
"134",2017-01-24 00:40:25,"I am currently an employee or contractor at Tesoro","High School Diploma or GED",NA,"No",13.0280671296296,"14"
"135",2017-01-24 01:20:52,"Tesoro employee","Associate's Degree",NA,"No",13.0561574074074,"14"
"136",2017-01-24 01:29:34,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",13.0621990740741,"14"
"137",2017-01-24 01:32:52,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",13.0644907407407,"14"
"138",2017-01-24 01:43:12,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",13.0716666666667,"14"
"139",2017-01-24 07:11:57,"Tesoro employee","High School Diploma or GED","B8781","Yes",13.2999652777778,"14"
"140",2017-01-24 10:23:18,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",13.4328472222222,"14"
"141",2017-01-24 10:38:59,"Indeed.com","Bachelor's Degree","L5656","Yes",13.4437384259259,"14"
"142",2017-01-24 11:24:10,"Personal referral (i.e. word of mouth)","High School Diploma or GED","E2259","Yes",13.4751157407407,"14"
"143",2017-01-24 14:18:52,"Personal referral (i.e. word of mouth)","High School Diploma or GED","G6436","Yes",13.5964351851852,"14"
"144",2017-01-24 17:41:09,"Personal referral (i.e. word of mouth)","High School Diploma or GED","B8338","Yes",13.7369097222222,"14"
"145",2017-01-24 17:59:18,"Personal referral (i.e. word of mouth)","Associate's Degree","W9187","Yes",13.7495138888889,"14"
"146",2017-01-24 18:47:26,"Tesoro employee","High School Diploma or GED",NA,"No",13.7829398148148,"14"
"147",2017-01-24 22:02:21,"Personal referral (i.e. word of mouth)","High School Diploma or GED","G7868","Yes",13.9182986111111,"14"
