How_hear,n
Don't remember,1
Employment agency,2
Current employee or contractor,22
Indeed.com,37
Job training program,2
Online job site (not Indeed.com),3
Personal referral (i.e. word of mouth),40
Recruiting organization,1
Social media (e.g. Facebook or Twitter),1
Tesoro employee,29
Tesoro website or mailing,9
