"lon","lat"
-121.7471865,37.9111587
-122.0731618,37.9856089
-121.688027,37.9322761
-121.9823346,38.3333066
-122.2988587,38.0043667
-121.5202157,38.6138067
-121.7150163,37.9223815
-121.880414,38.003332
-122.0540631,37.9714189
-121.835188,38.4614123
-121.9762928,37.9615604
-122.0393287,37.9888229
-73.9745306,40.6512073
-121.7137216,37.94994
-121.995225,38.3634569
-121.9843768,38.5235184
-121.9577995,38.3420147
-122.0314864,38.2599705
-121.8271713,38.456547
-121.8789215,38.0162854
-121.9818111,38.3933203
-122.088737,37.69625
-121.6052158,37.891664
-121.7789777,37.3031345
-122.042532,37.957046
-122.2867127,38.0043286
-121.7138139,37.9497701
-121.687834,37.985279
-121.8207315,38.4370615
-121.282829,38.75719
-122.057243,37.931761
-122.0482037,47.7413989
-122.0532514,38.282155
-122.2588924,38.0289294
-121.9483177,38.3381053
-122.095958,37.9612849
-121.9772266,38.3584932
-122.0443645,37.9020833
-121.9810237,38.3490039
-122.4597513,37.6482632
-121.7318392,37.9418745
-121.7601946,37.9555365
-121.7824356,37.972544
-122.099682,37.982327
-121.9658992,38.3357463
-91.5236369,41.6699312
-122.0202961,38.2681335
-121.8539322,38.0040374
-121.9486067,38.0120607
-121.9636125,38.3369805
-121.2891063,37.8214295
-121.7340024,37.9953116
-121.4167522,38.4443522
-121.1558309,38.6521499
-122.2773932,38.0043296
-122.1345424,38.011195
-121.8210781,38.4315
-45.9395736,-23.2976012
-121.86866,37.995787
-121.713429,37.9336853
-122.1508172,38.2203695
-121.7919677,37.981916
-121.9992688,38.2423014
-122.042532,37.957046
-121.6875798,37.9421851
-122.0783328,38.241962
-122.0593774,38.2950462
-122.013997,38.249213
-121.9387525,38.3484983
-121.8560511,37.3753562
-121.8474553,38.0049533
-122.14384,38.0588537
-122.1351532,38.0150686
-95.3628248,29.775205
-121.9277373,38.0294613
-121.8018543,37.9857251
-122.5549764,38.8143315
-121.7886498,37.9562825
-121.9568797,38.3451688
-119.0457942,35.2926053
-121.9418645,38.3636173
-121.5615806,38.5415626
-120.8410787,37.5347291
-121.9829073,38.296697
-121.8852062,38.0365248
-122.2551729,38.0149856
-115.2639982,36.1074326
-117.9338762,33.641913
-121.9653464,38.3422604
-121.9160593,38.0222916
-122.03703,37.57203
-122.6980488,38.3305421
-122.4890438,37.7466251
-118.3024736,33.8023112
-122.018159,38.2416259
-121.9513518,38.3570924
-121.973507,38.351049
-122.0475075,38.2588215
-121.9510551,37.9559226
-121.933401,38.4187423
-118.3451443,33.9290193
-122.3829382,40.6224787
-122.0459219,38.274166
-122.0049228,38.3521427
-121.8620865,38.0012504
-122.3200684,38.0065107
-121.7827093,37.9740492
-121.667472,37.975795
-121.9691992,38.3549979
-122.23462,38.1050167
-122.23462,38.1050167
-122.2457988,38.1342107
-119.8605767,36.8173462
-121.9537929,38.0097143
-122.140129,38.0483
-121.7336969,37.9927404
-122.6458494,38.2452196
-121.9310979,37.9301411
-122.2421303,38.0986939
-121.9516854,38.3582212
-121.952851,38.334668
-122.1970004,38.1130386
-121.7371785,38.0025795
-121.7210828,37.9893333
-121.972754,38.3032561
-121.9640478,38.3232718
-121.9917741,38.2384899
-122.0140373,38.2784368
-122.2241453,38.1027558
-122.0222395,38.2685802
-122.2129981,38.1051438
-121.9924377,38.2508162
-122.7390151,38.4408515
-122.2302845,38.0785293
-122.0099719,38.2825232
-122.1130426,37.6940916
-117.3470967,34.1573408
-121.935391,38.364063
-121.9058147,37.7603853
-116.8782862,32.8403946
-121.893178,38.004653
-121.7127598,37.9337349
-122.0400843,38.0034835
-122.0584292,38.2637981
-121.6903657,37.933284
-121.6814737,37.9273809
-121.91994,38.026006
-121.9800531,38.3427989
-121.6913826,37.9538136
-122.1136148,37.9970479
-121.8733914,37.9918496
-121.8178296,38.4517428
-121.36017,38.7021525
-121.4364066,37.7351674
-121.9762928,37.9615604
-122.0891378,38.0142294
-122.154625,37.7372705
-121.552973,37.791473
-122.0618243,37.3744915
-121.9776845,38.412612
-121.9555569,38.3503417
-115.562462,32.783614
-122.029098,38.334471
-122.2559046,38.1008284
-122.1975746,38.1276852
-121.8500067,38.4502736
-122.2740646,38.1529061
-122.032588,37.980215
-121.9732798,38.3912837
-121.7970748,37.3310492
-121.7076772,37.9952974
-121.6974552,38.1737106
-76.3864218,36.8739763
-115.2036403,36.1531628
-122.2732156,38.1513401
-121.9691992,38.3549979
-118.3274199,33.9509642
-122.0692431,37.8981664
-122.2419279,38.0985094
-121.9555748,37.949163
-121.9924803,38.3467717
-122.1003698,38.0080996
-122.1388982,38.164559
-122.077078,38.263402
-118.172761,33.7643949
-122.135583,38.0129832
-121.9851758,38.361248
-122.0751398,37.9857958
-121.7197304,37.9851849
-117.3135773,33.2534481
-122.070512,38.253009
-122.0173727,38.2754418
-122.1759202,37.728437
-122.0412482,38.2591196
-121.838732,38.459506
-118.4252177,33.9248147
-122.2427455,38.1051101
-122.4567365,37.7541163
-117.0020298,32.8619686
-118.2978145,33.9375407
-122.4672547,37.7429611
-121.9433261,38.3507263
-118.282326,33.985495
-121.8733003,38.0223972
-87.2761087,41.5603029
-121.942205,37.7439835
