"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
80,2017-10-05 00:07:54,"L7427","Andeavor employee","Yes",1.00548611111111
81,2017-10-05 00:09:26,"N3951","Andeavor employee","Yes",1.00655092592593
82,2017-10-05 00:22:14,"L4773","Andeavor employee","Yes",1.01543981481481
83,2017-10-05 00:22:14,"S8176","Andeavor employee","Yes",1.01543981481481
84,2017-10-05 00:22:47,"D0223","Andeavor employee","Yes",1.01582175925926
85,2017-10-05 00:33:04,"C7565","Andeavor employee","Yes",1.02296296296296
86,2017-10-05 00:37:05,NA,"Personal referral","No",1.02575231481481
87,2017-10-05 00:39:40,"S4339","Andeavor employee","Yes",1.0275462962963
88,2017-10-05 00:43:19,NA,"Online job site (other than Indeed)","No",1.03008101851852
89,2017-10-05 00:45:03,NA,"Social media (e.g. Facebook or Twitter)","No",1.03128472222222
90,2017-10-05 00:46:58,"B8485","Personal referral","Yes",1.03261574074074
91,2017-10-05 00:55:05,"C8867","Social media (e.g. Facebook or Twitter)","Yes",1.03825231481481
92,2017-10-05 00:55:41,"C1777","Personal referral","Yes",1.03866898148148
93,2017-10-05 01:03:07,"N5451","Personal referral","Yes",1.04383101851852
94,2017-10-05 01:05:24,"G6620","Andeavor employee","Yes",1.04541666666667
95,2017-10-05 01:13:35,"W1856","Personal referral","Yes",1.05109953703704
96,2017-10-05 01:19:23,"N5996","Personal referral","Yes",1.05512731481481
97,2017-10-05 01:28:26,"V9520","Social media (e.g. Facebook or Twitter)","Yes",1.06141203703704
98,2017-10-05 01:28:30,"D7378","I am currently an employee or contractor at Andeavor","Yes",1.06145833333333
99,2017-10-05 01:30:54,"L1693","Personal referral","Yes",1.063125
100,2017-10-05 01:36:21,"A3301","Andeavor employee","Yes",1.06690972222222
101,2017-10-05 01:39:50,"C5154","Andeavor employee","Yes",1.0693287037037
102,2017-10-05 01:42:57,"G4198","Personal referral","Yes",1.07149305555556
103,2017-10-05 01:48:05,"S1010","Andeavor employee","Yes",1.07505787037037
104,2017-10-05 01:56:41,"S9340","Personal referral","Yes",1.08103009259259
105,2017-10-05 02:00:37,"M7791","Personal referral","Yes",1.08376157407407
106,2017-10-05 02:14:41,"A7823","Personal referral","Yes",1.09353009259259
107,2017-10-05 02:17:44,"Z5291","I am currently an employee or contractor at Andeavor","Yes",1.09564814814815
108,2017-10-05 03:05:34,"C0121","Personal referral","Yes",1.12886574074074
109,2017-10-05 07:26:54,"R2630","I am currently an employee or contractor at Andeavor","Yes",1.31034722222222
110,2017-10-05 09:00:02,"R3618","I am currently an employee or contractor at Andeavor","Yes",1.37502314814815
111,2017-10-05 09:32:50,"N4748","Andeavor employee","Yes",1.39780092592593
112,2017-10-05 10:26:03,"V1379","Andeavor employee","Yes",1.43475694444444
113,2017-10-05 10:43:49,NA,"Personal referral","No",1.44709490740741
114,2017-10-05 10:50:42,"H0340","Personal referral","Yes",1.451875
115,2017-10-05 10:55:33,NA,"Social media (e.g. Facebook or Twitter)","No",1.45524305555556
116,2017-10-05 10:59:20,"P1196","Social media (e.g. Facebook or Twitter)","Yes",1.45787037037037
117,2017-10-05 11:18:19,"L3289","I am currently an employee or contractor at Andeavor","Yes",1.47105324074074
118,2017-10-05 11:29:33,"P6230","Personal referral","Yes",1.47885416666667
119,2017-10-05 11:47:11,"W4778","Personal referral","Yes",1.49109953703704
120,2017-10-05 11:49:14,"L1125","Andeavor employee","Yes",1.49252314814815
121,2017-10-05 11:54:13,"V9906","Personal referral","Yes",1.4959837962963
122,2017-10-05 11:55:17,"N5533","Andeavor employee","Yes",1.49672453703704
123,2017-10-05 11:57:12,NA,"Andeavor employee","No",1.49805555555556
124,2017-10-05 12:24:12,"J1868","Social media (e.g. Facebook or Twitter)","Yes",1.51680555555556
125,2017-10-05 12:25:48,NA,"Andeavor employee","No",1.51791666666667
126,2017-10-05 12:29:02,"D2497","Andeavor employee","Yes",1.52016203703704
127,2017-10-05 12:54:03,"R2606","Social media (e.g. Facebook or Twitter)","Yes",1.53753472222222
128,2017-10-05 12:57:49,NA,"Andeavor employee","No",1.54015046296296
129,2017-10-05 13:02:17,"J8513","Personal referral","Yes",1.54325231481481
130,2017-10-05 13:11:24,NA,"Personal referral","No",1.54958333333333
131,2017-10-05 13:12:57,"H4126","Andeavor employee","Yes",1.55065972222222
132,2017-10-05 13:19:15,"G8401","Social media (e.g. Facebook or Twitter)","Yes",1.55503472222222
133,2017-10-05 13:21:27,NA,"Social media (e.g. Facebook or Twitter)","No",1.5565625
134,2017-10-05 13:26:50,"B0495","Andeavor employee","Yes",1.56030092592593
135,2017-10-05 13:27:48,"U0082","Personal referral","Yes",1.56097222222222
136,2017-10-05 13:33:09,"R9364","Personal referral","Yes",1.5646875
137,2017-10-05 13:40:36,"E2853","Andeavor employee","Yes",1.56986111111111
138,2017-10-05 13:45:18,"L2821","I am currently an employee or contractor at Andeavor","Yes",1.573125
139,2017-10-05 13:46:18,"G9839","Social media (e.g. Facebook or Twitter)","Yes",1.57381944444444
140,2017-10-05 13:50:08,"G2541","Personal referral","Yes",1.57648148148148
141,2017-10-05 14:07:43,NA,"Social media (e.g. Facebook or Twitter)","No",1.58869212962963
142,2017-10-05 14:16:08,"V3012","Andeavor employee","Yes",1.59453703703704
143,2017-10-05 14:18:33,"P9948","Andeavor employee","Yes",1.59621527777778
144,2017-10-05 14:22:44,NA,"Andeavor website or mailing","No",1.59912037037037
145,2017-10-05 14:24:38,NA,"Social media (e.g. Facebook or Twitter)","No",1.60043981481481
146,2017-10-05 14:27:12,"M3203","Andeavor employee","Yes",1.60222222222222
147,2017-10-05 14:34:45,NA,"Online job site (other than Indeed)","No",1.60746527777778
148,2017-10-05 14:51:59,"J2662","Indeed.com","Yes",1.61943287037037
149,2017-10-05 14:57:37,"T9816","Andeavor employee","Yes",1.62334490740741
150,2017-10-05 15:07:03,"S6692","Social media (e.g. Facebook or Twitter)","Yes",1.62989583333333
151,2017-10-05 15:07:43,"B7201","Andeavor website or mailing","Yes",1.6303587962963
152,2017-10-05 15:10:41,"B1542","Personal referral","Yes",1.63241898148148
153,2017-10-05 15:11:53,"G7256","Online job site (other than Indeed)","Yes",1.63325231481481
154,2017-10-05 15:23:03,"M2824","Indeed.com","Yes",1.64100694444444
155,2017-10-05 15:24:54,"P0501","Personal referral","Yes",1.64229166666667
156,2017-10-05 15:27:41,"L9883","Indeed.com","Yes",1.64422453703704
157,2017-10-05 15:35:59,"W3916","Social media (e.g. Facebook or Twitter)","Yes",1.64998842592593
158,2017-10-05 15:48:09,"S9989","Personal referral","Yes",1.6584375
159,2017-10-05 16:09:30,NA,"Personal referral","No",1.67326388888889
160,2017-10-05 16:10:00,"M6844","Personal referral","Yes",1.67361111111111
161,2017-10-05 16:15:31,"M1140","Andeavor website or mailing","Yes",1.67744212962963
162,2017-10-05 16:27:52,"B7535","Personal referral","Yes",1.68601851851852
163,2017-10-05 16:32:27,"S9931","Online job site (other than Indeed)","Yes",1.68920138888889
164,2017-10-05 16:43:57,"W7684","Personal referral","Yes",1.6971875
165,2017-10-05 16:46:05,"J9968","Social media (e.g. Facebook or Twitter)","Yes",1.69866898148148
166,2017-10-05 16:46:27,"P0589","Personal referral","Yes",1.69892361111111
167,2017-10-05 16:48:49,"L0789","Personal referral","Yes",1.70056712962963
168,2017-10-05 16:52:26,"L1404","Personal referral","Yes",1.7030787037037
169,2017-10-05 16:58:51,"M9550","Personal referral","Yes",1.70753472222222
170,2017-10-05 17:13:04,"G2443","Personal referral","Yes",1.71740740740741
171,2017-10-05 17:17:00,"D3786","Personal referral","Yes",1.72013888888889
172,2017-10-05 17:17:38,"H8492","Personal referral","Yes",1.7205787037037
173,2017-10-05 17:27:46,"C7564","I am currently an employee or contractor at Andeavor","Yes",1.72761574074074
174,2017-10-05 17:43:32,NA,"Personal referral","No",1.73856481481481
175,2017-10-05 17:51:47,"D6118","I am currently an employee or contractor at Andeavor","Yes",1.74429398148148
176,2017-10-05 17:54:48,"L4449","Personal referral","Yes",1.74638888888889
177,2017-10-05 17:58:57,"C1030","Personal referral","Yes",1.74927083333333
178,2017-10-05 18:05:26,"R5093","Personal referral","Yes",1.75377314814815
179,2017-10-05 18:13:34,"S2648","Andeavor employee","Yes",1.7594212962963
180,2017-10-05 18:15:41,"I1819","Andeavor employee","Yes",1.7608912037037
181,2017-10-05 18:53:56,"L1538","Andeavor employee","Yes",1.7874537037037
182,2017-10-05 19:21:59,"W1545","Personal referral","Yes",1.80693287037037
183,2017-10-05 19:25:09,"R1110","Social media (e.g. Facebook or Twitter)","Yes",1.80913194444444
184,2017-10-05 19:36:50,"M5837","Social media (e.g. Facebook or Twitter)","Yes",1.81724537037037
185,2017-10-05 19:42:18,NA,"Personal referral","No",1.82104166666667
186,2017-10-05 19:43:16,"T4957","Andeavor employee","Yes",1.82171296296296
187,2017-10-05 19:44:41,"H0361","Andeavor employee","Yes",1.82269675925926
188,2017-10-05 19:46:57,"J0536","Andeavor employee","Yes",1.82427083333333
189,2017-10-05 19:48:03,"C9844","Personal referral","Yes",1.82503472222222
190,2017-10-05 19:52:22,"W1453","Andeavor employee","Yes",1.82803240740741
191,2017-10-05 19:58:12,"P5441","Social media (e.g. Facebook or Twitter)","Yes",1.83208333333333
192,2017-10-05 19:59:49,"G4155","Personal referral","Yes",1.83320601851852
193,2017-10-05 19:59:51,NA,"Don't remember","No",1.83322916666667
194,2017-10-05 20:13:15,NA,"Social media (e.g. Facebook or Twitter)","No",1.84253472222222
195,2017-10-05 20:14:50,"S5820","Social media (e.g. Facebook or Twitter)","Yes",1.84363425925926
196,2017-10-05 20:17:30,"D3516","Personal referral","Yes",1.84548611111111
197,2017-10-05 20:18:21,"C0623","Personal referral","Yes",1.84607638888889
198,2017-10-05 20:26:21,"G4167","Personal referral","Yes",1.85163194444444
199,2017-10-05 20:32:55,"C2010","Personal referral","Yes",1.85619212962963
200,2017-10-05 20:33:54,"J7764","Personal referral","Yes",1.856875
201,2017-10-05 20:35:37,"M9914","Andeavor employee","Yes",1.85806712962963
202,2017-10-05 20:39:36,"L6313","Andeavor employee","Yes",1.86083333333333
203,2017-10-05 20:48:59,"S1750","Indeed.com","Yes",1.86734953703704
204,2017-10-05 20:50:27,"R7527","Indeed.com","Yes",1.86836805555556
205,2017-10-05 21:08:25,"G1414","Personal referral","Yes",1.88084490740741
206,2017-10-05 21:18:47,"F8331","Social media (e.g. Facebook or Twitter)","Yes",1.88804398148148
207,2017-10-05 21:25:07,NA,"Social media (e.g. Facebook or Twitter)","No",1.89244212962963
208,2017-10-05 21:35:19,"J0175","I am currently an employee or contractor at Andeavor","Yes",1.89952546296296
209,2017-10-05 21:35:46,"S0364","Personal referral","Yes",1.89983796296296
210,2017-10-05 21:48:34,"H1806","Andeavor employee","Yes",1.90872685185185
211,2017-10-05 22:02:19,"M4660","Andeavor employee","Yes",1.91827546296296
212,2017-10-05 22:08:42,"A6541","I am currently an employee or contractor at Andeavor","Yes",1.92270833333333
213,2017-10-05 22:12:00,"V2780","Personal referral","Yes",1.925
214,2017-10-05 22:23:27,"H0956","Personal referral","Yes",1.93295138888889
215,2017-10-05 22:34:48,NA,"Personal referral","No",1.94083333333333
216,2017-10-05 22:41:28,"T1753","Personal referral","Yes",1.94546296296296
217,2017-10-05 22:47:01,"J0308","Online job site (other than Indeed)","Yes",1.94931712962963
218,2017-10-05 22:47:47,"S2812","Personal referral","Yes",1.94984953703704
219,2017-10-05 23:01:22,"P6398","Andeavor employee","Yes",1.95928240740741
220,2017-10-05 23:20:57,"D2273","Andeavor website or mailing","Yes",1.97288194444444
221,2017-10-05 23:23:05,"G5348","Personal referral","Yes",1.97436342592593
222,2017-10-05 23:33:04,"H4846","I am currently an employee or contractor at Andeavor","Yes",1.9812962962963
223,2017-10-05 23:39:14,"V6769","Personal referral","Yes",1.9855787037037
224,2017-10-05 23:45:40,NA,"Personal referral","No",1.9900462962963
225,2017-10-05 23:45:58,"K8382","Andeavor employee","Yes",1.99025462962963
226,2017-10-05 23:47:06,"B3393","Personal referral","Yes",1.99104166666667
227,2017-10-05 23:47:41,"B0385","Personal referral","Yes",1.99144675925926
228,2017-10-05 23:53:25,"F4293","Personal referral","Yes",1.99542824074074
229,2017-10-05 23:54:33,"E5887","Personal referral","Yes",1.99621527777778
230,2017-10-05 23:55:09,"C9865","Personal referral","Yes",1.99663194444444
231,2017-10-05 23:55:35,"B6436","Personal referral","Yes",1.99693287037037
232,2017-10-05 23:59:45,"N1190","Online job site (other than Indeed)","Yes",1.99982638888889
233,2017-10-06 00:07:46,"V8791","I am currently an employee or contractor at Andeavor","Yes",2.00539351851852
234,2017-10-06 00:19:38,"F1650","Job training program","Yes",2.01363425925926
235,2017-10-06 00:23:42,"J3088","Indeed.com","Yes",2.01645833333333
236,2017-10-06 00:26:00,"M3336","Andeavor employee","Yes",2.01805555555556
237,2017-10-06 00:37:12,"P0377","Andeavor employee","Yes",2.02583333333333
238,2017-10-06 00:37:17,"W3725","Personal referral","Yes",2.0258912037037
239,2017-10-06 00:40:35,"W8463","Personal referral","Yes",2.02818287037037
240,2017-10-06 00:41:51,"I7294","Personal referral","Yes",2.0290625
241,2017-10-06 00:46:16,"H4233","Social media (e.g. Facebook or Twitter)","Yes",2.03212962962963
242,2017-10-06 00:46:22,"B4355","Andeavor employee","Yes",2.03219907407407
243,2017-10-06 00:53:53,"Y4505","Andeavor employee","Yes",2.03741898148148
244,2017-10-06 01:04:21,"F0873","Andeavor employee","Yes",2.0446875
245,2017-10-06 01:13:43,"R0339","Personal referral","Yes",2.05119212962963
246,2017-10-06 01:31:56,"F1944","Andeavor employee","Yes",2.06384259259259
247,2017-10-06 01:33:48,"S4734","Andeavor employee","Yes",2.06513888888889
248,2017-10-06 01:36:59,"C8807","Personal referral","Yes",2.06734953703704
249,2017-10-06 01:52:56,"D7944","Indeed.com","Yes",2.07842592592593
250,2017-10-06 01:53:34,"B3918","Social media (e.g. Facebook or Twitter)","Yes",2.07886574074074
251,2017-10-06 01:57:38,"H7459","Social media (e.g. Facebook or Twitter)","Yes",2.08168981481481
252,2017-10-06 01:58:15,NA,"Social media (e.g. Facebook or Twitter)","No",2.08211805555556
