"how_hear","n"
"Andeavor employee",179
"Andeavor website or mailing",35
"Don't remember",10
"I am currently an employee or contractor at Andeavor",48
"Indeed.com",149
"Job training program",7
"Online job site (other than Indeed)",19
"Personal referral",241
"Social media (e.g. Facebook or Twitter)",76
