"how_hear","n"
"Andeavor employee",42
"Andeavor website or mailing",41
"I am currently an employee or contractor at Andeavor",12
"Indeed.com",24
"Newspaper ad",6
"Online job site (other than Indeed)",16
"Personal referral",48
