"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
78,2017-09-21 17:50:13,"R8210","Andeavor employee","Yes",6.74320601851852
79,2017-09-21 18:02:49,"B0405","Andeavor employee","Yes",6.75195601851852
80,2017-09-21 20:35:12,"B2839","Personal referral","Yes",6.85777777777778
81,2017-09-21 21:20:44,"R1140","Andeavor employee","Yes",6.88939814814815
82,2017-09-21 21:55:22,"S6514","Indeed.com","Yes",6.91344907407407
83,2017-09-21 23:04:50,"A5236","I am currently an employee or contractor at Andeavor","Yes",6.96168981481481
84,2017-09-21 23:11:54,"T0058","I am currently an employee or contractor at Andeavor","Yes",6.96659722222222
85,2017-09-21 23:37:50,"J1950","Andeavor employee","Yes",6.98460648148148
86,2017-09-21 23:45:06,"B1617","Personal referral","Yes",6.98965277777778
87,2017-09-22 00:52:39,"R8601","Andeavor website or mailing","Yes",7.0365625
88,2017-09-22 00:59:52,"O2233","Andeavor employee","Yes",7.04157407407407
89,2017-09-22 01:17:45,"G7405","Personal referral","Yes",7.05399305555556
90,2017-09-22 01:27:49,"P4456","Indeed.com","Yes",7.0609837962963
91,2017-09-22 02:22:40,"W9985","Andeavor employee","Yes",7.09907407407407
92,2017-09-22 02:39:45,"G4333","Personal referral","Yes",7.1109375
93,2017-09-22 11:00:13,"R3544","Personal referral","Yes",7.4584837962963
94,2017-09-22 13:44:49,"H1043","Newspaper ad","Yes",7.57278935185185
95,2017-09-22 13:49:12,"R3247","Andeavor employee","Yes",7.57583333333333
96,2017-09-22 14:16:02,"H0429","Andeavor website or mailing","Yes",7.59446759259259
97,2017-09-22 14:22:29,"W6482","Personal referral","Yes",7.59894675925926
98,2017-09-22 15:19:45,"M1433","Personal referral","Yes",7.63871527777778
99,2017-09-22 17:29:51,"M8359","Andeavor employee","Yes",7.7290625
100,2017-09-22 17:50:04,"K1029","Andeavor website or mailing","Yes",7.74310185185185
101,2017-09-22 17:56:40,"F1264","I am currently an employee or contractor at Andeavor","Yes",7.74768518518519
102,2017-09-22 18:07:41,"C0162","Personal referral","Yes",7.75533564814815
103,2017-09-22 18:47:34,"H6234","Personal referral","Yes",7.78303240740741
104,2017-09-22 18:55:49,"S1190","Personal referral","Yes",7.78876157407407
105,2017-09-22 20:02:37,"W8870","Personal referral","Yes",7.83515046296296
106,2017-09-22 20:28:34,"C5199","Personal referral","Yes",7.8531712962963
107,2017-09-22 21:22:09,"P2270","Online job site (other than Indeed)","Yes",7.89038194444444
108,2017-09-22 21:26:03,"A3113","Personal referral","Yes",7.89309027777778
109,2017-09-22 21:50:23,"M6966","Job training program","Yes",7.90998842592593
110,2017-09-22 22:03:56,"G7648","Newspaper ad","Yes",7.91939814814815
111,2017-09-22 23:11:39,"B7801","Indeed.com","Yes",7.96642361111111
112,2017-09-23 01:30:27,"F5308","Personal referral","Yes",8.0628125
113,2017-09-23 01:44:47,"C4904","Personal referral","Yes",8.0727662037037
114,2017-09-23 02:33:59,"W3813","Andeavor employee","Yes",8.10693287037037
115,2017-09-23 03:21:05,"W5920","Andeavor employee","Yes",8.1396412037037
116,2017-09-23 15:14:09,"M8478","Andeavor employee","Yes",8.63482638888889
117,2017-09-23 16:51:32,"S7885","Job training program","Yes",8.7024537037037
118,2017-09-23 18:28:50,"S3986","Indeed.com","Yes",8.77002314814815
119,2017-09-23 20:48:01,"J5020","Online job site (other than Indeed)","Yes",8.86667824074074
120,2017-09-23 20:48:14,"C7957","Andeavor employee","Yes",8.8668287037037
121,2017-09-23 21:47:48,"W8252","Andeavor website or mailing","Yes",8.90819444444444
122,2017-09-23 21:57:14,"E6785","Andeavor employee","Yes",8.91474537037037
123,2017-09-23 23:09:10,NA,"Personal referral","No",8.96469907407407
124,2017-09-23 23:38:03,"K3910","Personal referral","Yes",8.98475694444445
125,2017-09-23 23:56:22,"T8262","Personal referral","Yes",8.99747685185185
126,2017-09-23 23:56:43,"R9896","Andeavor employee","Yes",8.99771990740741
127,2017-09-24 00:12:06,"E2534","Personal referral","Yes",9.00840277777778
128,2017-09-24 02:47:39,"K2984","Andeavor website or mailing","Yes",9.11642361111111
129,2017-09-24 02:50:49,NA,"Indeed.com","No",9.11862268518519
130,2017-09-24 05:04:46,"L2830","Andeavor employee","Yes",9.21164351851852
131,2017-09-24 10:24:13,"T1055","Personal referral","Yes",9.4334837962963
132,2017-09-24 11:50:26,"N2692","Andeavor website or mailing","Yes",9.49335648148148
133,2017-09-24 20:33:38,NA,"Social media (e.g. Facebook or Twitter)","No",9.85668981481481
134,2017-09-24 20:42:59,"L5317","Personal referral","Yes",9.86318287037037
135,2017-09-24 22:11:21,"F5653","Andeavor employee","Yes",9.92454861111111
136,2017-09-24 22:51:19,"B1244","Personal referral","Yes",9.95230324074074
137,2017-09-25 12:36:34,"Y0514","Personal referral","Yes",10.5253935185185
138,2017-09-25 14:53:37,"C9347","Online job site (other than Indeed)","Yes",10.6205671296296
139,2017-09-25 15:23:43,"L3791","Personal referral","Yes",10.6414699074074
140,2017-09-25 17:22:54,"F9816","Personal referral","Yes",10.7242361111111
141,2017-09-25 17:23:58,"S3044","Online job site (other than Indeed)","Yes",10.7249768518519
142,2017-09-25 17:40:35,"S9561","Indeed.com","Yes",10.7365162037037
143,2017-09-25 18:28:37,"B0539","Online job site (other than Indeed)","Yes",10.7698726851852
144,2017-09-25 20:21:17,"L2065","Andeavor website or mailing","Yes",10.8481134259259
145,2017-09-25 21:19:52,"L2314","Personal referral","Yes",10.8887962962963
146,2017-09-25 21:57:39,"M0074","Newspaper ad","Yes",10.9150347222222
147,2017-09-25 22:46:07,"S2341","Indeed.com","Yes",10.9486921296296
148,2017-09-25 22:50:38,"W9250","Andeavor website or mailing","Yes",10.9518287037037
149,2017-09-26 01:04:06,"T5743","Indeed.com","Yes",11.0445138888889
150,2017-09-26 01:23:58,"W7773","Andeavor website or mailing","Yes",11.0583101851852
151,2017-09-26 02:47:06,"S9802","Andeavor website or mailing","Yes",11.1160416666667
152,2017-09-26 03:00:40,"T5250","Personal referral","Yes",11.125462962963
153,2017-09-26 03:14:33,"H5967","I am currently an employee or contractor at Andeavor","Yes",11.1351041666667
154,2017-09-26 11:22:29,"S7691","Andeavor website or mailing","Yes",11.4739467592593
155,2017-09-26 14:21:52,"L4240","Personal referral","Yes",11.5985185185185
156,2017-09-26 15:05:57,"O8206","Andeavor website or mailing","Yes",11.6291319444444
157,2017-09-26 15:17:42,NA,"Andeavor website or mailing","No",11.6372916666667
158,2017-09-26 16:32:22,"E4706","Online job site (other than Indeed)","Yes",11.6891435185185
159,2017-09-26 17:48:13,"G4371","Personal referral","Yes",11.7418171296296
160,2017-09-26 19:10:08,"W0022","Andeavor website or mailing","Yes",11.7987037037037
161,2017-09-26 19:23:59,NA,"Indeed.com","No",11.8083217592593
162,2017-09-26 21:09:45,"A4208","Personal referral","Yes",11.8817708333333
163,2017-09-27 02:06:57,"W7171","Online job site (other than Indeed)","Yes",12.0881597222222
164,2017-09-27 05:54:11,"B6909","Indeed.com","Yes",12.2459606481481
165,2017-09-27 08:25:43,NA,"Newspaper ad","No",12.3511921296296
166,2017-09-27 14:22:22,"S7589","Online job site (other than Indeed)","Yes",12.5988657407407
167,2017-09-27 20:27:55,"E7134","Andeavor employee","Yes",12.8527199074074
168,2017-09-27 20:53:01,"D2608","Newspaper ad","Yes",12.870150462963
169,2017-09-27 20:57:21,"L3032","Personal referral","Yes",12.8731597222222
170,2017-09-27 21:18:38,"E0517","Andeavor website or mailing","Yes",12.8879398148148
171,2017-09-27 21:35:03,"W7985","Personal referral","Yes",12.8993402777778
172,2017-09-27 21:51:54,"C8555","Andeavor website or mailing","Yes",12.9110416666667
173,2017-09-27 22:35:47,"R6174","Andeavor website or mailing","Yes",12.9415162037037
174,2017-09-27 23:54:08,"P8444","Andeavor website or mailing","Yes",12.9959259259259
176,2017-09-28 02:21:39,"S7799","Andeavor website or mailing","Yes",13.0983680555556
177,2017-09-28 02:47:56,"P0773","Online job site (other than Indeed)","Yes",13.1166203703704
178,2017-09-28 18:25:28,"S9612","Andeavor employee","Yes",13.7676851851852
179,2017-09-28 18:54:10,"S7089","Online job site (other than Indeed)","Yes",13.7876157407407
180,2017-09-28 21:52:14,"A4973","Personal referral","Yes",13.9112731481481
181,2017-09-28 22:40:28,"M9273","Online job site (other than Indeed)","Yes",13.9447685185185
182,2017-09-28 23:08:05,"J6426","Andeavor website or mailing","Yes",13.9639467592593
183,2017-09-28 23:15:10,"H2964","Personal referral","Yes",13.9688657407407
184,2017-09-29 02:52:32,"B6255","I am currently an employee or contractor at Andeavor","Yes",14.1198148148148
185,2017-09-29 04:56:35,"C6918","Personal referral","Yes",14.2059606481481
186,2017-09-29 18:58:22,"S6812","I am currently an employee or contractor at Andeavor","Yes",14.7905324074074
187,2017-09-30 02:16:22,"C1430","Andeavor website or mailing","Yes",15.0946990740741
188,2017-09-30 02:31:56,"F5163","Personal referral","Yes",15.1055092592593
189,2017-09-30 02:37:04,"R9280","Andeavor website or mailing","Yes",15.1090740740741
190,2017-09-30 05:00:56,"D0299","Indeed.com","Yes",15.2089814814815
191,2017-09-30 12:24:30,"H2370","Newspaper ad","Yes",15.5170138888889
192,2017-09-30 12:50:58,"S3907","Andeavor employee","Yes",15.5353935185185
193,2017-09-30 16:08:42,"K3861","Andeavor website or mailing","Yes",15.6727083333333
194,2017-09-30 18:00:12,"C6953","Andeavor website or mailing","Yes",15.7501388888889
195,2017-10-01 02:25:05,"P3000","Andeavor employee","Yes",16.1007523148148
196,2017-10-01 04:37:25,"O3563","Andeavor website or mailing","Yes",16.192650462963
197,2017-10-02 16:22:19,"F0411","Indeed.com","Yes",17.6821643518519
